instanceFile; comment; status; LB; UB; Gap; ModelingTime; cplexTime; totalTime; nVarsTotal; nVarsFree; excludedByEllipse; exclusionReg; nConstr; nNonZeros; preproc.UB; preproc.LB; preproc.fixedArcs; preproc.fixedEdges; preproc.fixedPaths; preproc.blockedArcs; preproc.blockedEdges; preproc.time; preproc.outOfEllipse.fixedArcs; preproc.outOfEllipse.fixedEdges; preproc.outOfEllipse.fixedPaths; preproc.outOfEllipse.blockedArcs; preproc.outOfEllipse.blockedEdges; preproc.outOfEllipse.time; preproc.excludedByEllipse.fixedArcs; preproc.excludedByEllipse.fixedEdges; preproc.excludedByEllipse.fixedPaths; preproc.excludedByEllipse.blockedArcs; preproc.excludedByEllipse.blockedEdges; preproc.excludedByEllipse.time; preproc.fixUniquePath.fixedArcs; preproc.fixUniquePath.fixedEdges; preproc.fixUniquePath.fixedPaths; preproc.fixUniquePath.blockedArcs; preproc.fixUniquePath.blockedEdges; preproc.fixUniquePath.time; preproc.fixNotCrossed.fixedArcs; preproc.fixNotCrossed.fixedEdges; preproc.fixNotCrossed.fixedPaths; preproc.fixNotCrossed.blockedArcs; preproc.fixNotCrossed.blockedEdges; preproc.fixNotCrossed.time; solFile
/home/abrandt/src/dilation/instancias/uniform/uniform_010_00.in; gps_exclReg; Optimal; 1.3053310070807169e+00; 1.3053310070807169e+00; 0.0000000000000000e+00; 3.1559467315673828e-03; 8.4810256958007812e-03; 2.8811931610107422e-02; 4051; 555; 84; 25; 616; 2481; 1.3053310000000000e+00; 1.0000000000000000e+00; 16; 16; 16; 3480; 21; 0.000; 0; 0; 0; 3348; 0; 0.000; 0; 0; 0; 86; 21; 0.000; 12; 12; 12; 12; 0; 0.000; 4; 4; 4; 34; 0; 0.000; 1.3053310000000000e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_01.in; gps_exclReg; Optimal; 1.3175585271552048e+00; 1.3175585271552048e+00; 0.0000000000000000e+00; 3.0548572540283203e-03; 8.8889598846435547e-03; 3.3237934112548828e-02; 4051; 537; 90; 20; 686; 2501; 1.3175589999999999e+00; 1.0000000000000000e+00; 16; 16; 16; 3498; 18; 0.000; 0; 0; 0; 3394; 0; 0.000; 0; 0; 0; 60; 18; 0.000; 12; 12; 12; 12; 0; 0.000; 4; 4; 4; 32; 0; 0.000; 1.3175589999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_02.in; gps_exclReg; Optimal; 1.2582064374663142e+00; 1.2582064374663142e+00; 0.0000000000000000e+00; 2.9079914093017578e-03; 6.6668987274169922e-03; 3.2369136810302734e-02; 4051; 457; 115; 41; 460; 1959; 1.2582059999999999e+00; 1.0000000000000000e+00; 18; 18; 18; 3576; 23; 0.000; 0; 0; 0; 3436; 0; 0.000; 0; 0; 0; 104; 23; 0.000; 15; 15; 15; 15; 0; 0.000; 3; 3; 3; 21; 0; 0.000; 1.2582059999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_03.in; gps_exclReg; Optimal; 1.2253203103574182e+00; 1.2253203103574182e+00; 0.0000000000000000e+00; 3.5707950592041016e-03; 1.0330915451049805e-02; 3.6936998367309570e-02; 4051; 545; 72; 20; 497; 2301; 1.2253200000000000e+00; 1.0000000000000000e+00; 20; 20; 20; 3486; 21; 0.000; 0; 0; 0; 3316; 0; 0.000; 0; 0; 0; 104; 21; 0.000; 15; 15; 15; 15; 0; 0.000; 5; 5; 5; 51; 0; 0.000; 1.2253200000000000e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_04.in; gps_exclReg; Optimal; 1.2111611045209054e+00; 1.2111611045209054e+00; 0.0000000000000000e+00; 2.8939247131347656e-03; 6.6549777984619141e-03; 3.2535076141357422e-02; 4051; 533; 102; 42; 455; 2203; 1.2111609999999999e+00; 1.0000000000000000e+00; 20; 20; 20; 3498; 23; 0.000; 0; 0; 0; 3328; 0; 0.000; 0; 0; 0; 128; 23; 0.000; 16; 16; 16; 16; 0; 0.000; 4; 4; 4; 26; 0; 0.000; 1.2111609999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_05.in; gps_exclReg; Optimal; 1.1984811157437487e+00; 1.1984811157437487e+00; 0.0000000000000000e+00; 2.9151439666748047e-03; 8.4550380706787109e-03; 3.2875061035156250e-02; 4051; 443; 97; 34; 554; 2053; 1.1984809999999999e+00; 1.0000000000000000e+00; 18; 18; 18; 3590; 18; 0.000; 0; 0; 0; 3498; 0; 0.000; 0; 0; 0; 48; 18; 0.000; 14; 14; 14; 14; 0; 0.000; 4; 4; 4; 30; 0; 0.000; 1.1984809999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_06.in; gps_exclReg; Optimal; 1.1593480784576478e+00; 1.1593480784576478e+00; 0.0000000000000000e+00; 2.7270317077636719e-03; 3.4201145172119141e-03; 3.1193017959594727e-02; 4051; 269; 150; 37; 296; 1147; 1.1593480000000000e+00; 1.0000000000000000e+00; 20; 20; 20; 3762; 23; 0.000; 0; 0; 0; 3684; 0; 0.000; 0; 0; 0; 30; 23; 0.000; 17; 17; 17; 17; 0; 0.000; 3; 3; 3; 31; 0; 0.000; 1.1593480000000000e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_07.in; gps_exclReg; Optimal; 1.2043517522748695e+00; 1.2043517522748695e+00; 0.0000000000000000e+00; 2.8209686279296875e-03; 5.8228969573974609e-03; 3.0600786209106445e-02; 4051; 391; 109; 43; 425; 1695; 1.2043520000000001e+00; 1.0000000000000000e+00; 18; 18; 18; 3642; 23; 0.000; 0; 0; 0; 3544; 0; 0.000; 0; 0; 0; 66; 23; 0.000; 17; 17; 17; 17; 0; 0.000; 1; 1; 1; 15; 0; 0.000; 1.2043520000000001e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_08.in; gps_exclReg; Optimal; 1.1942267044114414e+00; 1.1942267044114414e+00; 0.0000000000000000e+00; 2.7060508728027344e-03; 3.7930011749267578e-03; 2.6436090469360352e-02; 4051; 327; 132; 38; 334; 1376; 1.1942269999999999e+00; 1.0000000000000000e+00; 21; 21; 21; 3703; 22; 0.000; 0; 0; 0; 3578; 0; 0.000; 0; 0; 0; 66; 22; 0.000; 16; 16; 16; 16; 0; 0.000; 5; 5; 5; 43; 0; 0.000; 1.1942269999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_09.in; gps_exclReg; Optimal; 1.1442560510167912e+00; 1.1442560510167912e+00; 0.0000000000000000e+00; 2.7260780334472656e-03; 4.5251846313476562e-03; 2.4759054183959961e-02; 4051; 301; 142; 33; 316; 1275; 1.1442559999999999e+00; 1.0000000000000000e+00; 20; 20; 20; 3730; 23; 0.000; 0; 0; 0; 3658; 0; 0.000; 0; 0; 0; 34; 23; 0.000; 17; 17; 17; 17; 0; 0.000; 3; 3; 3; 21; 0; 0.000; 1.1442559999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_10.in; gps_exclReg; Optimal; 1.1274606820397952e+00; 1.1274606820397952e+00; 0.0000000000000000e+00; 2.7019977569580078e-03; 1.7480850219726562e-02; 4.2469978332519531e-02; 4051; 295; 131; 40; 316; 1251; 1.1274610000000000e+00; 1.0000000000000000e+00; 20; 20; 20; 3736; 23; 0.000; 0; 0; 0; 3666; 0; 0.000; 0; 0; 0; 38; 23; 0.000; 17; 17; 17; 17; 0; 0.000; 3; 3; 3; 15; 0; 0.000; 1.1274610000000000e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_11.in; gps_exclReg; Optimal; 1.1445670099349554e+00; 1.1445670099349554e+00; 0.0000000000000000e+00; 2.7937889099121094e-03; 4.7359466552734375e-03; 3.2209873199462891e-02; 4051; 349; 109; 33; 455; 1581; 1.1445669999999999e+00; 1.0000000000000000e+00; 18; 18; 18; 3684; 21; 0.000; 0; 0; 0; 3608; 0; 0.000; 0; 0; 0; 34; 21; 0.000; 15; 15; 15; 15; 0; 0.000; 3; 3; 3; 27; 0; 0.000; 1.1445669999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_12.in; gps_exclReg; Optimal; 1.1864402699735965e+00; 1.1864402699735965e+00; 0.0000000000000000e+00; 2.6550292968750000e-03; 3.5130977630615234e-03; 2.5003194808959961e-02; 4051; 317; 114; 36; 283; 1288; 1.1864399999999999e+00; 1.0000000000000000e+00; 21; 21; 21; 3713; 24; 0.000; 0; 0; 0; 3610; 0; 0.000; 0; 0; 0; 46; 24; 0.000; 15; 15; 15; 15; 0; 0.000; 6; 6; 6; 42; 0; 0.000; 1.1864399999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_13.in; gps_exclReg; Optimal; 1.2291494970644565e+00; 1.2291494970644565e+00; 0.0000000000000000e+00; 2.9630661010742188e-03; 8.1079006195068359e-03; 3.0393838882446289e-02; 4051; 475; 95; 20; 565; 2163; 1.2291490000000000e+00; 1.0000000000000000e+00; 16; 16; 16; 3560; 21; 0.000; 0; 0; 0; 3480; 0; 0.000; 0; 0; 0; 42; 21; 0.000; 12; 12; 12; 12; 0; 0.000; 4; 4; 4; 26; 0; 0.000; 1.2291490000000000e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_14.in; gps_exclReg; Optimal; 1.1554743558483693e+00; 1.1554743558483693e+00; 0.0000000000000000e+00; 2.7890205383300781e-03; 3.9038658142089844e-03; 2.7953147888183594e-02; 4051; 335; 120; 46; 296; 1360; 1.1554739999999999e+00; 1.0000000000000000e+00; 21; 21; 21; 3695; 24; 0.000; 0; 0; 0; 3608; 0; 0.000; 0; 0; 0; 58; 24; 0.000; 19; 19; 19; 19; 0; 0.000; 2; 2; 2; 10; 0; 0.000; 1.1554739999999999e+00
