instanceFile;comment;status;LB;UB;Gap;ModelingTime;cplexTime;totalTime;nVarsTotal;nVarsFree;excludedByEllipse;exclusionReg;nConstr;nNonZeros;preproc.UB;preproc.LB;preproc.fixedArcs;preproc.fixedEdges;preproc.fixedPaths;preproc.blockedArcs;preproc.blockedEdges;preproc.time;preproc.outOfEllipse.fixedArcs;preproc.outOfEllipse.fixedEdges;preproc.outOfEllipse.fixedPaths;preproc.outOfEllipse.blockedArcs;preproc.outOfEllipse.blockedEdges;preproc.outOfEllipse.time;preproc.excludedByEllipse.fixedArcs;preproc.excludedByEllipse.fixedEdges;preproc.excludedByEllipse.fixedPaths;preproc.excludedByEllipse.blockedArcs;preproc.excludedByEllipse.blockedEdges;preproc.excludedByEllipse.time;preproc.fixUniquePath.fixedArcs;preproc.fixUniquePath.fixedEdges;preproc.fixUniquePath.fixedPaths;preproc.fixUniquePath.blockedArcs;preproc.fixUniquePath.blockedEdges;preproc.fixUniquePath.time;preproc.fixNotCrossed.fixedArcs;preproc.fixNotCrossed.fixedEdges;preproc.fixNotCrossed.fixedPaths;preproc.fixNotCrossed.blockedArcs;preproc.fixNotCrossed.blockedEdges;preproc.fixNotCrossed.time;solFile
/home/abrandt/src/dilation/instancias/uniform/uniform_010_00.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;2.3611068725585938e-02;0.0000000000000000e+00;4.1115999221801758e-02;4051;597;0;0;773;2827;1.3053310000000000e+00;1.0000000000000000e+00;15;15;15;3439;17;0.;0;0;0;3348;0;0.000;0;0;0;0;0;0.000;12;12;12;62;17;0.000;3;3;3;29;0;0.;1.3053310000000000e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_01.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;3.0980110168457031e-03;0.0000000000000000e+00;2.7524948120117188e-02;4051;543;0;0;748;2595;1.3175589999999999e+00;1.0000000000000000e+00;16;16;16;3492;16;0.;0;0;0;3394;0;0.000;0;0;0;0;0;0.000;12;12;12;66;16;0.000;4;4;4;32;0;0.;1.3175589999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_02.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;2.9609203338623047e-03;0.0000000000000000e+00;2.4440050125122070e-02;4051;457;0;0;460;1959;1.2582059999999999e+00;1.0000000000000000e+00;18;18;18;3576;23;0.;0;0;0;3436;0;0.000;0;0;0;0;0;0.000;15;15;15;119;23;0.000;3;3;3;21;0;0.;1.2582059999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_03.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;2.9971599578857422e-03;0.0000000000000000e+00;2.2881031036376953e-02;4051;567;0;0;549;2448;1.2253200000000000e+00;1.0000000000000000e+00;19;19;19;3465;20;0.;0;0;0;3316;0;0.000;0;0;0;0;0;0.000;15;15;15;109;20;0.000;4;4;4;40;0;0.;1.2253200000000000e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_04.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;2.9098987579345703e-03;0.0000000000000000e+00;2.4981021881103516e-02;4051;533;0;0;455;2203;1.2111609999999999e+00;1.0000000000000000e+00;20;20;20;3498;23;0.;0;0;0;3328;0;0.000;0;0;0;0;0;0.000;16;16;16;144;23;0.000;4;4;4;26;0;0.;1.2111609999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_05.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;3.9849281311035156e-03;0.0000000000000000e+00;2.1427869796752930e-02;4051;453;0;0;704;2269;1.1984809999999999e+00;1.0000000000000000e+00;18;18;18;3580;13;0.;0;0;0;3498;0;0.000;0;0;0;0;0;0.000;14;14;14;50;13;0.000;4;4;4;32;0;0.;1.1984809999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_06.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;2.7091503143310547e-03;0.0000000000000000e+00;2.1745920181274414e-02;4051;269;0;0;296;1147;1.1593480000000000e+00;1.0000000000000000e+00;20;20;20;3762;23;0.;0;0;0;3684;0;0.000;0;0;0;0;0;0.000;17;17;17;47;23;0.000;3;3;3;31;0;0.;1.1593480000000000e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_07.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;4.0349960327148438e-03;0.0000000000000000e+00;2.0457983016967773e-02;4051;391;0;0;425;1695;1.2043520000000001e+00;1.0000000000000000e+00;18;18;18;3642;23;0.;0;0;0;3544;0;0.000;0;0;0;0;0;0.000;17;17;17;83;23;0.000;1;1;1;15;0;0.;1.2043520000000001e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_08.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;2.7921199798583984e-03;0.0000000000000000e+00;2.1821975708007812e-02;4051;333;0;0;384;1453;1.1942269999999999e+00;1.0000000000000000e+00;20;20;20;3698;21;0.;0;0;0;3578;0;0.000;0;0;0;0;0;0.000;16;16;16;82;21;0.000;4;4;4;38;0;0.;1.1942269999999999e+00
/home/abrandt/src/dilation/instancias/uniform/uniform_010_09.in;gps_dryRun;Unknown;1.0000000000000000e+00;1.7976931348623157e+308;1.7976931348623157e+308;2.7799606323242188e-03;0.0000000000000000e+00;2.3041963577270508e-02;4051;301;0;0;316;1275;1.1442559999999999e+00;1.0000000000000000e+00;20;20;20;3730;23;0.;0;0;0;3658;0;0.000;0;0;0;0;0;0.000;17;17;17;51;23;0.000;3;3;3;21;0;0.;1.1442559999999999e+00
