  instanceFile;      delaunay; delImprd; delLSFlips; bestTriang; bestTriangImprd; bestTriangFlips;  time; comment
./uniform_010_00.in; 1.305331; 1.305331;          0;   1.305331;        1.305331;               0;    96; grasp
./uniform_010_01.in; 1.317559; 1.317559;          0;   1.317559;        1.317559;               0;    93; grasp
./uniform_010_02.in; 1.258206; 1.258206;          0;   1.258206;        1.258206;               0;   159; grasp
./uniform_010_03.in; 1.225320; 1.225320;          0;   1.225320;        1.225320;               0;   106; grasp
./uniform_010_04.in; 1.243339; 1.211161;          1;   1.243339;        1.211161;               1;    61; grasp
./uniform_010_05.in; 1.204318; 1.198481;          1;   1.204318;        1.198481;               1;   106; grasp
./uniform_010_06.in; 1.220186; 1.159348;          1;   1.220186;        1.159348;               1;    83; grasp
./uniform_010_07.in; 1.245029; 1.204352;          2;   1.245029;        1.204352;               2;    72; grasp
./uniform_010_08.in; 1.194227; 1.194227;          0;   1.194227;        1.194227;               0;   100; grasp
./uniform_010_09.in; 1.221505; 1.144256;          1;   1.221505;        1.144256;               1;    76; grasp
./uniform_010_10.in; 1.127461; 1.127461;          0;   1.127461;        1.127461;               0;    76; grasp
./uniform_010_11.in; 1.175758; 1.144567;          1;   1.175758;        1.144567;               1;    88; grasp
./uniform_010_12.in; 1.224146; 1.186440;          1;   1.224146;        1.186440;               1;   104; grasp
./uniform_010_13.in; 1.229149; 1.229149;          0;   1.229149;        1.229149;               0;   100; grasp
./uniform_010_14.in; 1.292769; 1.155474;          1;   1.292769;        1.155474;               1;   131; grasp
./uniform_010_15.in; 1.156934; 1.156934;          0;   1.156934;        1.156934;               0;    96; grasp
./uniform_010_16.in; 1.166315; 1.158359;          1;   1.166315;        1.158359;               1;   105; grasp
./uniform_010_17.in; 1.206101; 1.206101;          0;   1.206101;        1.206101;               0;    49; grasp
./uniform_010_18.in; 1.164797; 1.163778;          1;   1.164797;        1.163778;               1;    85; grasp
./uniform_010_19.in; 1.266405; 1.150468;          1;   1.266405;        1.150468;               1;    61; grasp
./uniform_010_20.in; 1.135625; 1.135625;          0;   1.135625;        1.135625;               0;   106; grasp
./uniform_010_21.in; 1.224146; 1.224146;          0;   1.224146;        1.224146;               0;   103; grasp
./uniform_010_22.in; 1.185537; 1.185537;          0;   1.185537;        1.185537;               0;    88; grasp
./uniform_010_23.in; 1.182931; 1.182931;          0;   1.182931;        1.182931;               0;   108; grasp
./uniform_010_24.in; 1.203812; 1.203812;          0;   1.203812;        1.203812;               0;    90; grasp
./uniform_010_25.in; 1.208352; 1.208352;          0;   2.457791;        1.180979;               1;   102; grasp
./uniform_010_26.in; 1.183433; 1.183433;          0;   1.264209;        1.180877;               2;    91; grasp
./uniform_010_27.in; 1.215824; 1.215824;          0;   1.215824;        1.215824;               0;   113; grasp
./uniform_010_28.in; 1.176151; 1.176151;          0;   1.176151;        1.176151;               0;   106; grasp
./uniform_010_29.in; 1.158972; 1.158972;          0;   1.158972;        1.158972;               0;    97; grasp
./uniform_011_00.in; 1.199732; 1.132865;          1;   1.199732;        1.132865;               1;   108; grasp
./uniform_011_01.in; 1.267755; 1.267755;          0;   1.267755;        1.267755;               0;   111; grasp
./uniform_011_02.in; 1.288435; 1.288435;          0;   1.288435;        1.288435;               0;   125; grasp
./uniform_011_03.in; 1.225672; 1.225672;          0;   1.225672;        1.225672;               0;   127; grasp
./uniform_011_04.in; 1.222879; 1.222879;          0;   1.222879;        1.222879;               0;    84; grasp
./uniform_011_05.in; 1.158942; 1.158942;          0;   1.158942;        1.158942;               0;   107; grasp
./uniform_011_06.in; 1.155512; 1.153312;          2;   1.155512;        1.153312;               2;   100; grasp
./uniform_011_07.in; 1.247454; 1.217477;          3;   1.247454;        1.217477;               3;   113; grasp
./uniform_011_08.in; 1.229418; 1.229418;          0;   1.229418;        1.229418;               0;   119; grasp
./uniform_011_09.in; 1.207308; 1.207308;          0;   1.207308;        1.207308;               0;   112; grasp
./uniform_011_10.in; 1.283809; 1.177192;          2;   1.283809;        1.177192;               2;   109; grasp
./uniform_011_11.in; 1.217939; 1.217939;          0;   1.217939;        1.217939;               0;    98; grasp
./uniform_011_12.in; 1.291877; 1.287798;          1;   1.291877;        1.249451;               2;   110; grasp
./uniform_011_13.in; 1.227657; 1.227657;          0;   1.227657;        1.227657;               0;   120; grasp
./uniform_011_14.in; 1.267358; 1.248485;          1;   1.267358;        1.222662;               1;   115; grasp
./uniform_011_15.in; 1.240094; 1.240094;          0;   1.240094;        1.240094;               0;   103; grasp
./uniform_011_16.in; 1.130812; 1.130812;          0;   1.130812;        1.130812;               0;   114; grasp
./uniform_011_17.in; 1.394626; 1.357979;          1;   1.394626;        1.285957;               2;   122; grasp
./uniform_011_18.in; 1.199842; 1.199842;          0;   1.199842;        1.199842;               0;   102; grasp
./uniform_011_19.in; 1.232932; 1.213496;          1;   1.232932;        1.213496;               1;   101; grasp
./uniform_011_20.in; 1.173155; 1.173155;          0;   1.173155;        1.173155;               0;   105; grasp
./uniform_011_21.in; 1.155882; 1.155882;          0;   1.155882;        1.155882;               0;   124; grasp
./uniform_011_22.in; 1.125138; 1.125138;          0;   1.125138;        1.125138;               0;    74; grasp
./uniform_011_23.in; 1.179114; 1.172544;          1;   1.179114;        1.172544;               1;   104; grasp
./uniform_011_24.in; 1.274070; 1.230590;          1;   1.274070;        1.230590;               1;   109; grasp
./uniform_011_25.in; 1.291234; 1.169051;          1;   1.291234;        1.169051;               1;   107; grasp
./uniform_011_26.in; 1.360830; 1.351433;          1;   1.339177;        1.339177;               0;    95; grasp
./uniform_011_27.in; 1.199848; 1.199848;          0;   1.199848;        1.199848;               0;   112; grasp
./uniform_011_28.in; 1.246051; 1.246051;          0;   1.246051;        1.246051;               0;   114; grasp
./uniform_011_29.in; 1.282545; 1.282545;          0;   1.282545;        1.282545;               0;   115; grasp
./uniform_012_00.in; 1.308484; 1.308484;          0;   1.308484;        1.308484;               0;   130; grasp
./uniform_012_01.in; 1.135326; 1.135326;          0;   1.135326;        1.135326;               0;   180; grasp
./uniform_012_02.in; 1.247449; 1.246857;          1;   1.247449;        1.246857;               1;   185; grasp
./uniform_012_03.in; 1.266963; 1.266963;          0;   1.266963;        1.266963;               0;   139; grasp
./uniform_012_04.in; 1.186502; 1.186502;          0;   1.186502;        1.186502;               0;   150; grasp
./uniform_012_05.in; 1.149475; 1.149475;          0;   1.149475;        1.149475;               0;   133; grasp
./uniform_012_06.in; 1.315156; 1.243540;          2;   1.315156;        1.243540;               2;   149; grasp
./uniform_012_07.in; 1.292467; 1.292467;          0;   1.292467;        1.292467;               0;   158; grasp
./uniform_012_08.in; 1.263655; 1.215760;          2;   1.263655;        1.215760;               2;   153; grasp
./uniform_012_09.in; 1.341068; 1.244998;          1;   1.341068;        1.244998;               1;   103; grasp
./uniform_012_10.in; 1.250007; 1.226300;          1;   1.250007;        1.226300;               1;   168; grasp
./uniform_012_11.in; 1.215950; 1.187443;          1;   1.215950;        1.187443;               1;   136; grasp
./uniform_012_12.in; 1.328296; 1.189253;          1;   1.328296;        1.189253;               1;   111; grasp
./uniform_012_13.in; 1.223890; 1.223890;          0;   1.223890;        1.223890;               0;   148; grasp
./uniform_012_14.in; 1.291542; 1.291542;          0;   1.291542;        1.291542;               0;   158; grasp
./uniform_012_15.in; 1.197182; 1.176593;          1;   1.176593;        1.162290;               1;   156; grasp
./uniform_012_16.in; 1.212148; 1.212148;          0;   1.212148;        1.212148;               0;   151; grasp
./uniform_012_17.in; 1.211738; 1.154268;          1;   1.211738;        1.154268;               1;   158; grasp
./uniform_012_18.in; 1.172376; 1.172376;          0;   1.172376;        1.172376;               0;   126; grasp
./uniform_012_19.in; 1.181088; 1.181088;          0;   1.181088;        1.181088;               0;   165; grasp
./uniform_012_20.in; 1.227004; 1.168975;          1;   1.227004;        1.168975;               1;   157; grasp
./uniform_012_21.in; 1.204131; 1.204131;          0;   1.204131;        1.204131;               0;   142; grasp
./uniform_012_22.in; 1.217762; 1.217762;          0;   1.217762;        1.217762;               0;   159; grasp
./uniform_012_23.in; 1.201987; 1.201987;          0;   1.201987;        1.201987;               0;   162; grasp
./uniform_012_24.in; 1.268373; 1.215139;          1;   1.268373;        1.215139;               1;   155; grasp
./uniform_012_25.in; 1.301822; 1.253137;          1;   1.301822;        1.253137;               1;   131; grasp
./uniform_012_26.in; 1.255540; 1.255540;          0;   1.255540;        1.255540;               0;   154; grasp
./uniform_012_27.in; 1.173573; 1.173573;          0;   1.219057;        1.173484;               3;   160; grasp
./uniform_012_28.in; 1.189507; 1.189507;          0;   1.189507;        1.189507;               0;   147; grasp
./uniform_012_29.in; 1.266383; 1.260286;          1;   1.266383;        1.260286;               1;   145; grasp
./uniform_013_00.in; 1.231571; 1.231571;          0;   1.231571;        1.231571;               0;   156; grasp
./uniform_013_01.in; 1.173929; 1.173929;          0;   1.173929;        1.173929;               0;   160; grasp
./uniform_013_02.in; 1.244670; 1.244670;          0;   1.244670;        1.244670;               0;   253; grasp
./uniform_013_03.in; 1.267357; 1.267357;          0;   1.267357;        1.267357;               0;   138; grasp
./uniform_013_04.in; 1.181114; 1.142765;          3;   1.181114;        1.142765;               3;   154; grasp
./uniform_013_05.in; 1.200646; 1.200646;          0;   1.200646;        1.200646;               0;   172; grasp
./uniform_013_06.in; 1.225597; 1.225597;          0;   1.225597;        1.225597;               0;   166; grasp
./uniform_013_07.in; 1.181638; 1.165470;          1;   1.181638;        1.165470;               1;   171; grasp
./uniform_013_08.in; 1.190890; 1.190890;          0;   1.190890;        1.190890;               0;   166; grasp
